Date,Close,CBR
2014-07-02,1974.62,307.14
2014-07-03,1985.44,306.74
2014-07-07,1977.65,303.75
2014-07-08,1963.71,303.44
2014-07-09,1972.83,301.19
2014-07-10,1964.68,299.7
2014-07-11,1967.57,297.07
2014-07-14,1977.1,297.47
2014-07-15,1973.28,296.02
2014-07-16,1981.57,296.79
2014-07-17,1958.12,297.92
2014-07-18,1978.22,297.42
2014-07-21,1973.63,298.44
2014-07-22,1983.53,297.35
2014-07-23,1987.01,298.77
2014-07-24,1987.98,298.19
2014-07-25,1978.34,298.34
2014-07-28,1978.91,298.31
2014-07-29,1969.95,296.64
2014-07-30,1970.07,296.11
2014-07-31,1930.67,294.43
2014-08-01,1925.15,292.48
2014-08-04,1938.99,294.16
2014-08-05,1920.21,292.4
2014-08-06,1920.24,294.03
2014-08-07,1909.57,293.08
2014-08-08,1931.59,292.43
2014-08-11,1936.92,293.84
2014-08-12,1933.75,291.78
2014-08-13,1946.72,291.29
2014-08-14,1955.18,288.8
2014-08-15,1955.06,289.93
2014-08-18,1971.74,288.2
2014-08-19,1981.6,287.04
2014-08-20,1986.51,288.28
2014-08-21,1992.37,289.05
2014-08-22,1988.4,288.67
2014-08-25,1997.92,288.54
2014-08-26,2000.02,290.29
2014-08-27,2000.12,290.43
2014-08-28,1996.74,291.34
2014-08-29,2003.37,292.75
2014-09-02,2002.28,289.28
2014-09-03,2000.72,290.3
2014-09-04,1997.65,288.63
2014-09-05,2007.71,288.02
2014-09-08,2001.54,286.75
2014-09-09,1988.44,285.79
2014-09-10,1995.69,283.64
2014-09-11,1997.45,282.77
2014-09-12,1985.54,281.9
2014-09-15,1984.13,281.84
2014-09-16,1998.98,284.39
2014-09-17,2001.57,284.1
2014-09-18,2011.36,280.94
2014-09-19,2010.4,279.4
2014-09-22,1994.29,277.67
2014-09-23,1982.77,277.8
2014-09-24,1998.3,280.38
2014-09-25,1965.99,279.17
2014-09-26,1982.85,280.28
2014-09-29,1977.8,283.14
2014-09-30,1972.29,278.55
2014-10-01,1946.16,277.91
2014-10-02,1946.17,277.32
2014-10-03,1967.9,276.34
2014-10-06,1964.82,280.24
2014-10-07,1935.1,279.98
2014-10-08,1968.89,277.4
2014-10-09,1928.21,276.41
2014-10-10,1906.13,275.6
2014-10-13,1874.74,276.72
2014-10-14,1877.7,273.9
2014-10-15,1862.49,271.31
2014-10-16,1862.76,272.69
2014-10-17,1886.76,272.64
2014-10-20,1904.01,271.13
2014-10-21,1941.28,273.0
2014-10-22,1927.11,270.35
2014-10-23,1950.82,272.43
2014-10-24,1964.58,270.22
2014-10-27,1961.63,270.41
2014-10-28,1985.05,272.09
2014-10-29,1982.3,274.9
2014-10-30,1994.65,272.71
2014-10-31,2018.05,271.96
2014-11-03,2017.81,270.47
2014-11-04,2012.1,267.48
2014-11-05,2023.57,268.27
2014-11-06,2031.21,269.14
2014-11-07,2031.92,270.66
2014-11-10,2038.26,267.83
2014-11-11,2039.68,270.15
2014-11-12,2038.25,268.94
2014-11-13,2039.33,264.56
2014-11-14,2039.82,266.79
2014-11-17,2041.32,267.42
2014-11-18,2051.8,265.83
2014-11-19,2048.72,266.41
2014-11-20,2052.75,268.15
2014-11-21,2063.5,269.11
2014-11-24,2069.41,267.19
2014-11-25,2067.03,266.85
2014-11-26,2072.83,266.65
2014-11-28,2067.56,254.37
2014-12-01,2053.44,258.78
2014-12-02,2066.55,253.33
2014-12-03,2074.33,253.04
2014-12-04,2071.92,253.08
2014-12-05,2075.37,252.33
2014-12-08,2060.31,248.13
2014-12-09,2059.82,251.06
2014-12-10,2026.14,246.93
2014-12-11,2035.33,245.42
2014-12-12,2002.33,243.75
2014-12-15,1989.63,241.05
2014-12-16,1972.74,238.75
2014-12-17,2012.89,239.89
2014-12-18,2061.23,237.87
2014-12-19,2070.65,240.29
2014-12-22,2078.54,236.61
2014-12-23,2082.17,238.61
2014-12-24,2081.88,235.34
2014-12-26,2088.77,234.65
2014-12-29,2090.57,233.24
2014-12-30,2080.35,233.48
2014-12-31,2058.9,229.96
2015-01-02,2058.2,228.41
2015-01-05,2020.58,226.73
2015-01-06,2002.61,225.38
2015-01-07,2025.9,225.06
2015-01-08,2062.14,225.88
2015-01-09,2044.81,225.57
2015-01-12,2028.26,220.83
2015-01-13,2023.03,219.7
2015-01-14,2011.27,223.28
2015-01-15,1992.67,220.43
2015-01-16,2019.42,224.24
2015-01-20,2022.55,218.97
2015-01-21,2032.12,221.23
2015-01-22,2063.15,218.34
2015-01-23,2051.82,216.61
2015-01-26,2057.09,216.05
2015-01-27,2029.55,217.91
2015-01-28,2002.16,214.99
2015-01-29,2021.25,212.64
2015-01-30,1994.99,218.84
2015-02-02,2020.85,220.44
